year,site,dens,visacres,bdrat,fdrat,skunk,pig,racoon,armadillo,bat,cottontail,screech_owl,great_horned_owl,gray fox,barred_owl,gulf_coast_toad,chuck_widow,feral_cat,fox_species_unknown,opposum,ringtail_cat,night_jar,coyote
2008,WOLTERS,10.67,47.2,0.186046512,0.558139535,,,,,,,,,,,,,,,,,,
2009,WOLTERS,14.44,443.41,0.145454545,0.345454545,,,,,,,,,,,,,,,,,,
2010,WOLTERS,12.51,424.43,0.6875,0.9375,,,,,,,,,,,,,,,,,,
2011,WOLTERS,6.26,424.43,0.484848485,0.681818182,,,,,,,,,,,,,,,,,,
2012,WOLTERS,8.4,495.48,0.492063492,0.365079365,,,,,,,,,,,,,,,,,,
2013,WOLTERS,10.4,495.48,0.298507463,0.149253731,,,,,,,,,,,,,,,,,,
2014,WOLTERS,10,410.2,0.196078431,0.333333333,0,1,3,1,0,12,0,0,1,1,0,0,1,0,0,0,0,6
2015,WOLTERS,19.84,489.4,0.166666667,0.166666667,,,,,,,,,,,,,,,,,,
2016,WOLTERS,17.32,489.4,0.652173913,0.130434783,,,,,,,,,,,,,,,,,,
2017,WOLTERS,14.14,287.49,0.357142857,0.178571429,,,,,,,,,,,,,,,,,,
2018,WOLTERS,19.06,476.4,0.275862069,0.172413793,,,,,,,,,,,,,,,,,,
2019,WOLTERS,41,505.67,0.095238095,0.047619048,,,,,,,,,,,,,,,,,,
2020,WOLTERS,21.99,454.5,0.413793103,0.310344828,,,,,,,,,,,,,,,,,,
2021,WOLTERS,24.66,443.85,0.225806452,0.193548387,,,,,,,,,,,,,,,,,,
2008,SWIFT,39.44,355,0.545454545,0.545454545,0,57,1,2,0,4,0,0,0,0,0,0,1,0,0,0,0,1
2009,SWIFT,49.83,416,1.125,0.125,2,0,2,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0
2010,SWIFT,42.68,413,0.727272727,0.545454545,0,11,3,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
2011,SWIFT,77.35,43,2.25,0,1,4,2,1,0,10,0,0,0,1,0,0,0,1,1,1,1,2
2012,SWIFT,77.35,412.55,0.571428571,0.428571429,,,,,,,,,,,,,,,,,,
2013,SWIFT,15.85,443.75,1.217391304,0.217391304,2,14,3,2,0,12,0,2,0,2,0,0,0,1,1,0,0,7
2014,SWIFT,45.9,443.74,0.196078431,0.294117647,,,,,,,,,,,,,,,,,,
2015,SWIFT,27.17,443.74,1.125,0.5,,,,,,,,,,,,,,,,,,
2016,SWIFT,36.98,443.74,2,0.333333333,,,,,,,,,,,,,,,,,,
2017,SWIFT,19.21,505.75,0.227272727,0.25,,,,,,,,,,,,,,,,,,
2018,SWIFT,,,,,,,,,,,,,,,,,,,,,,
2019,SWIFT,,,,,,,,,,,,,,,,,,,,,,
2020,SWIFT,,,,,,,,,,,,,,,,,,,,,,
2021,SWIFT,,,,,,,,,,,,,,,,,,,,,,
2008,MAXEY,9.61,370,0.150684932,0.219178082,,,,,,,,,,,,,,,,,,
2009,MAXEY,13.88,379.3,0.171428571,0.371428571,,,,,,,,,,,,,,,,,,
2010,MAXEY,6.38,472.43,0.577319588,0.237113402,,,,,,,,,,,,,,,,,,
2011,MAXEY,8.68,477.54,0.164948454,0.082474227,,,,,,,,,,,,,,,,,,
2012,MAXEY,24.28,477.54,0.318181818,0.181818182,,,,,,,,,,,,,,,,,,
2013,MAXEY,11.94,477.54,0.590909091,0.136363636,,,,,,,,,,,,,,,,,,
2014,MAXEY,14.04,304.23,0.214285714,0.035714286,,,,,,,,,,,,,,,,,,
2015,MAXEY,11.59,355.41,0.96,0.4,,,,,,,,,,,,,,,,,,
2016,MAXEY,20.12,355.41,1.388888889,0.055555556,,,,,,,,,,,,,,,,,,
2017,MAXEY,16.12,177.28,1.2,0,,,,,,,,,,,,,,,,,,
2018,MAXEY,19.06,476.4,0.275862069,0.172413793,,,,,,,,,,,,,,,,,,
2019,MAXEY,15.56,316.29,0.384615385,0.230769231,,,,,,,,,,,,,,,,,,
2020,MAXEY,29.84,517.26,0.391304348,0.173913043,,,,,,,,,,,,,,,,,,
2021,MAXEY,24.66,443.85,0.225806452,0.193548387,,,,,,,,,,,,,,,,,,
2007,BOWIE,8.5,671,0.267857143,0.220238095,,,,,,,,,,,,,,,,,,
2008,BOWIE,6.86,665,0.345132743,0.486725664,,,,,,,,,,,,,,,,,,
2009,BOWIE,13.08,606.12,0.285714286,0.727272727,,,,,,,,,,,,,,,,,,
2010,BOWIE,12.12,678.88,0.365853659,0.329268293,,,,,,,,,,,,,,,,,,
2011,BOWIE,10.44,678.88,0.41025641,0.307692308,,,,,,,,,,,,,,,,,,
2012,BOWIE,10.61,678.88,0.514705882,0.308823529,,,,,,,,,,,,,,,,,,
2013,BOWIE,13.04,830.37,0.448717949,0.307692308,,,,,,,,,,,,,,,,,,
2014,BOWIE,19.25,1059,0.62962963,0.259259259,,,,,,,,,,,,,,,,,,
2015,BOWIE,20.63,1059,0.707692308,0.230769231,,,,,,,,,,,,,,,,,,
2016,BOWIE,4.665824016,872.5090909,0.459459459,0.144144144,,,,,,,,,,,,,,,,,,
2017,BOWIE,17.7,832.13,0.386666667,0.306666667,,,,,,,,,,,,,,,,,,
2018,BOWIE,,,,,,,,,,,,,,,,,,,,,,
2019,BOWIE,83.36190476,8753,0.213333333,0.053333333,,,,,,,,,,,,,,,,,,
2020,BOWIE,13.22261707,722.8364,0.583333333,0.369047619,,,,,,,,,,,,,,,,,,
2021,BOWIE,,,,,,,,,,,,,,,,,,,,,,
